unix,date,symbol,open,high,low,close,Volume AKITA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751414400000,2025-07-02 00:00:00,AKITA/USDT,0.0000000291,0.0000000291,0.000000029,0.000000029,5.06529085,174428207,0,0,3,0.000000029
1751328000000,2025-07-01 00:00:00,AKITA/USDT,0.0000000306,0.0000000306,0.000000029,0.000000029,52.69634659,1767039977,0,0,4,0.0000000298
1751241600000,2025-06-30 00:00:00,AKITA/USDT,0.0000000306,0.0000000306,0.0000000306,0.0000000306,16.85043676,550667868,0,0,3,0.0000000306
1751155200000,2025-06-29 00:00:00,AKITA/USDT,0.0000000306,0.0000000306,0.0000000306,0.0000000306,0,0,0,0,0,0.0000000306
1751068800000,2025-06-28 00:00:00,AKITA/USDT,0.0000000306,0.0000000306,0.0000000306,0.0000000306,0,0,0,0,0,0.0000000306
1750982400000,2025-06-27 00:00:00,AKITA/USDT,0.0000000306,0.0000000306,0.0000000306,0.0000000306,2.99201677,97778326,0,0,2,0.0000000306
1750896000000,2025-06-26 00:00:00,AKITA/USDT,0.0000000312,0.0000000312,0.0000000306,0.0000000306,17.56844137,565755704,0,0,5,0.000000031
1750809600000,2025-06-25 00:00:00,AKITA/USDT,0.000000031,0.000000031,0.000000031,0.000000031,0,0,0,0,0,0.0000000311
1750723200000,2025-06-24 00:00:00,AKITA/USDT,0.000000032,0.0000000321,0.000000031,0.000000031,92.94855192,2986732459,0,0,6,0.0000000311
1750636800000,2025-06-23 00:00:00,AKITA/USDT,0.000000032,0.000000032,0.000000032,0.000000032,0,0,0,0,0,0.000000033
1750550400000,2025-06-22 00:00:00,AKITA/USDT,0.0000000331,0.0000000415,0.000000031,0.000000032,146.01264554,4448628858,28.87340214,738475687,23,0.000000033
1750464000000,2025-06-21 00:00:00,AKITA/USDT,0.000000033,0.000000033,0.000000033,0.000000033,0,0,0,0,0,0.0000000392
1750377600000,2025-06-20 00:00:00,AKITA/USDT,0.0000000365,0.0000000412,0.0000000321,0.000000033,29.47952231,755703857,25.14431888,622972397,8,0.0000000392
1750291200000,2025-06-19 00:00:00,AKITA/USDT,0.0000000365,0.0000000399,0.0000000332,0.0000000332,75.16110294,2200466201,54.98631868,1610252552,7,0.0000000342
1750204800000,2025-06-18 00:00:00,AKITA/USDT,0.0000000399,0.00000004,0.0000000311,0.0000000364,44.85615113,1332275691,17.29128692,457249093,10,0.0000000339
1750118400000,2025-06-17 00:00:00,AKITA/USDT,0.0000000306,0.0000000306,0.0000000306,0.0000000306,4.48378008,146528761,0,0,2,0.0000000306
1750032000000,2025-06-16 00:00:00,AKITA/USDT,0.0000000358,0.000000039,0.0000000301,0.000000039,406.18715493,11085152068,387.57197173,10480962504,21,0.0000000368
1749945600000,2025-06-15 00:00:00,AKITA/USDT,0.00000003,0.00000003,0.00000003,0.00000003,5.15463492,171821164,0,0,2,0.00000003
1749859200000,2025-06-14 00:00:00,AKITA/USDT,0.0000000281,0.0000000328,0.0000000281,0.00000003,80.5900942,2686014291,6.88629567,209948039,7,0.00000003
1749772800000,2025-06-13 00:00:00,AKITA/USDT,0.0000000281,0.0000000281,0.0000000281,0.0000000281,0.02806487,998750,0,0,1,0.0000000281
1749686400000,2025-06-12 00:00:00,AKITA/USDT,0.000000031,0.000000031,0.000000031,0.000000031,0,0,0,0,0,0.000000031
1749600000000,2025-06-11 00:00:00,AKITA/USDT,0.000000031,0.000000031,0.000000031,0.000000031,31.08056803,1002598969,0,0,1,0.000000031
1749513600000,2025-06-10 00:00:00,AKITA/USDT,0.000000031,0.0000000311,0.000000031,0.0000000311,18.6189555,600509927,0,0,2,0.000000031
1749427200000,2025-06-09 00:00:00,AKITA/USDT,0.0000000311,0.0000000311,0.000000031,0.000000031,4.05744516,130597182,0,0,3,0.000000031
1749340800000,2025-06-08 00:00:00,AKITA/USDT,0.0000000311,0.0000000311,0.0000000305,0.0000000305,10.14951268,328656542,0,0,3,0.0000000308
